,product name,company,original_prices,discount_prices,discount 
116,Solid Men Polo Neck Yellow T-Shirt,Allen Solly, 999, 319,68%  
117,"Color Block Men Round Neck White, Green, Black T-Shirt",SKITTZZ," 1,699", 199,88%  
118,"Solid Men Round Neck Dark Blue, Red, Black T-Shirt",FastColors," 1,999", 199,90%  
119,Printed Men Round Neck Green T-Shirt,PUMA," 1,499", 359,76%  
120,Striped Men Round Neck Black T-Shirt,Jump Cuts," 1,399", 207,85%  
121,"Color Block Men Hooded Neck Blue, Grey T-Shirt",HELMONT, 999, 153,84%  
122,"T410 Printed Men Hooded Neck Blue, Black T-Shirt",EyeBogler," 1,299", 260,79%  
123,Solid Men Polo Neck Red T-Shirt,U.S. POLO ASSN.," 1,599", 459,71%  
124,Color Block Men Round Neck Multicolor T-Shirt,TRIPR," 1,399", 143,89%  
125,Color Block Men Polo Neck Multicolor T-Shirt,Allen Solly," 1,049", 335,68%  
126,Solid Men Round Neck Silver T-Shirt,FTX, 599, 119,80%  
127,Printed Men Round Neck White T-Shirt,PUMA," 1,799", 439,75%  
128,Striped Men Round Neck Pink T-Shirt,Roden," 1,499", 223,85%  
129,"Pack of 3 Solid Men Round Neck Silver, Dark Blue, Black...",FTX, 999, 271,72%  
130,Striped Men Polo Neck Multicolor T-Shirt,BLIVE," 1,999", 143,92%  
131,Solid Men Polo Neck Multicolor T-Shirt,U.S. POLO ASSN.," 1,499", 424,71%  
132,Printed Men Round Neck Grey T-Shirt,BLIVE," 1,399", 143,89%  
133,Striped Men Polo Neck Pink T-Shirt,EyeBogler," 1,299", 143,88%  
134,Solid Men Hooded Neck Black T-Shirt,TRIPR," 1,999", 191,90%  
135,Solid Men Polo Neck Grey T-Shirt,PUMA," 1,299", 311,76%  
136,Solid Men Polo Neck Orange T-Shirt,METRONAUT By Flipkart," 1,199", 191,84%  
137,Printed Men Round Neck Black T-Shirt,Smartees," 1,299", 143,88%  
138,Printed Men Round Neck Dark Green T-Shirt,TRIPR," 1,999", 143,92%  
139,Solid Men Polo Neck Black T-Shirt,U.S. POLO ASSN.," 1,699", 494,70%  
140,Pack of 2 Striped Men Round Neck Multicolor T-Shirt,MOONVELLY," 2,299", 279,87%  
141,Solid Men Round Neck Light Blue T-Shirt,FTX, 599, 119,80%  
